talker,vowel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15
PL3,er,-11.248634,-16.331211,-23.297749,-30.075744,-36.303546,-41.075927,-46.541471,-50.242502,-53.73257,-55.8727,,,,,,-8.1841659,-4.0299704,-2.7491271,-4.1295711,-6.2042799,-7.2756309,-12.117108,-17.960841,-22.657144,-26.923804,,,,,
PL5,iy,-7.4841271,-12.765218,-16.737652,-21.323761,-25.211016,-31.736881,-38.061414,-43.543837,-46.674161,,,,,,,-4.102138,-1.7616544,1.14023561,4.68096726,5.75151105,7.95067516,5.82120287,1.72874432,-0.9195448,,,,,,
PL5,ih,-9.2649996,-13.907286,-19.091723,-23.698901,-27.525271,-32.634476,-38.964255,-41.349375,-45.725845,,,,,,,-5.5676851,-3.3430576,-1.8189932,-0.1766393,-0.4073469,-0.1310116,-1.764925,-3.7453891,-5.9294043,,,,,,
PL5,ey,-11.881157,-16.527686,-21.059038,-25.641687,-29.530491,-34.607967,-40.957351,-44.143719,-48.375634,,,,,,,-6.2430399,-3.2956166,-1.0100992,0.60552719,1.67043237,1.42689066,-0.1290904,-1.5333569,-5.4906375,,,,,,
PL5,eh,-14.398185,-19.013242,-23.4517,-27.995208,-32.492053,-37.550047,-43.255575,-48.257574,-52.053283,,,,,,,-7.4593266,-4.4628654,-3.9615409,-2.8804027,-3.0483884,-3.8210743,-5.1182964,-7.3899309,-10.700587
PL5,ae,-15.73054,-20.311687,-24.86019,-30.64085,-33.821658,-38.888003,-43.36904,-45.921013,-50.26869,,,,,,,-7.3299564,-4.2819036,-2.4834195,-1.3840167,-0.8835847,-1.599472,-2.3834298,-3.6171597,-6.3149464
PL5,aa,-11.174629,-16.920814,-21.417828,-26.518971,-29.812207,-34.400003,-37.588777,-41.440749,-45.295748,,,,,,,-9.161795,-9.370595,-9.5340035,-9.1356493,-8.0044962,-5.669564,-5.1183312,-4.6745851,-4.147561
PL5,ao,-21.306527,-24.607076,-29.19475,-33.092024,-37.658546,-44.092119,-49.105612,-51.558632,-54.712809,,,,,,,-12.61417,-8.9814749,-6.6463012,-4.9531793,-3.2009529,-2.8506768,-4.8671211,-6.2069453,-8.906416
PL5,ow,-21.556261,-26.639037,-31.138544,-34.981146,-40.090566,-44.617928,-46.55134,-52.967304,-58.708196,,,,,,,-13.481323,-13.5552,-13.6206,-13.009717,-11.250462,-9.3994057,-8.2607223,-8.3539774,-9.0208131
PL5,uw,-19.292904,-23.331762,-28.012265,-32.512587,-36.401989,-41.623153,-47.338096,-51.106317,-54.846263,,,,,,,-11.61545,-7.4730381,-3.8623509,-2.2452654,-1.1825497,-0.1844635,-1.0458238,-2.4801595,-4.4971404
PL5,ah,-22.794319,-27.247199,-32.441429,-35.63466,-40.755355,-47.171305,-51.004209,-54.808972,-59.929789,,,,,,,-14.169487,-11.734616,-9.8940238,-8.1073902,-5.5989824,-5.6931961,-5.7494795,-7.7222154,-10.881064
