,speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
26,tt01,51,dögg,161.4604231,513.8134543,92.24170091,102.2417009,186.2809568,NA,NA,186.2809568,278.5226577,186.2809568,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
27,bte03,95,dögg,557.071542,438.4438776,102.7154195,112.7154195,203.9669656,NA,NA,203.9669656,306.6823851,203.9669656,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
28,shg05,149,kamb,396.6687674,365.7636864,183.6833284,81.13743703,167.2224922,0,112.5458914,54.6766008,238.3599292,54.6766008,167.2224922,30,kʰamp,asp,a,low,front,unrounded,m,nasal,labial,no,mono,cvnc,comb,n,c,cc
29,jj04,84,dult,266.1658746,451.3142817,107.7498649,100.1265398,226.1789494,120.4970993,138.1204244,88.058525,316.3054892,208.5556243,226.1789494,46,tʏl̥t,nasp,ʏ,high,front,round,l̥,lateral,coronal,yes,mono,cvlc,reticent,adj,c,cc
30,shg05,71,takka,196.397657,402.9158458,70.34975441,66.79177202,163.8903433,81.85318572,95.41116811,68.47917515,220.6821153,150.3323609,163.8903433,25,tʰaʰka,asp,a,low,front,unrounded,ʰk,stop,velar,yes,di,cvccv,key,n,c,cc
31,bte03,161,dult,842.8197732,530.6292517,107.9746158,109.7186229,287.6585502,152.3025321,160.558525,127.1000252,387.3771731,279.4025573,287.6585502,46,tʏl̥t,nasp,ʏ,high,front,round,l̥,lateral,coronal,yes,mono,cvlc,reticent,adj,c,cc
32,bte03,6,gogg,73.80825775,456.4811379,108.3912083,118.3912083,209.6697012,NA,NA,209.6697012,318.0609095,209.6697012,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
33,jj04,11,detta,66.35135533,487.2841209,170.6189798,94.67266971,185.3721779,10.39375261,96.34006268,89.03211517,270.0448476,99.42586778,185.3721779,27,teʰta,nasp,e,mid,front,unrounded,ʰt,stop,coronal,yes,di,cvccv,fall,v,c,cc
34,bte03,41,hefna,287.3037946,614.9374741,58.25487285,68.25487285,194.0264755,NA,NA,194.0264755,252.2813483,194.0264755,NA,53,hepna,fri,e,mid,front,unrounded,p,stop,labial,no,di,cvccv,avenge,v,x,cx
35,brs02,94,hefna,312.6991822,504.5469122,64.99319728,74.99319728,168.9191232,NA,NA,168.9191232,233.9123205,168.9191232,NA,53,hepna,fri,e,mid,front,unrounded,p,stop,labial,no,di,cvccv,avenge,v,x,cx
