"","iso","name","lat","long","family","macroarea","country","tones","happyPlanetIndex","dailyCalories","freedomPress","rainfall","percentForest","inventory","distanceFromCapeTown"
"43","njm","Angami",25.66666667,94.5,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,43,10404.59586
"45","agr","Aguaruna",-5,-78,"Jivaroan","South America","PER",0,34.6,2700,3027,1738,57.79140625,20,10290.17373
"51","aht","Ahtna",62,-145,"Na-Dene","North America","USA",0,20.7,3682,2373,715,33.89972254,35,16686.00534
"53","tba","Aikaná",-12.66666667,-60.66666667,"Aikaná","South America","BRA",0,34.3,3263,312,1761,59.04878358,57,8231.260713
"54","ain","Ainu",43,143,"Ainu","Eurasia","JPN",0,28.3,2726,2864,1668,68.46061005,33,15179.59287
"55","ahp","Aizi",5.25,-4.5,"Niger-Congo","Africa","CIV",0,14.4,2799,3008,1348,32.70754717,33,4979.577905
"57","ajg","Ajagbe",7,1.75,"Niger-Congo","Africa","BEN",5,13.4,2619,3016,1039,38.23164243,82,4879.453883
"62","ahk","Akha",21.83333333,99.83333333,"Sino-Tibetan","Eurasia","CHN",0,25.7,3108,7829,645,22.18966958,41,10601.11101
"64","akl","Aklanon",11.58333333,122.3333333,"Austronesian","Papunesia","PHL",0,35,2570,4253,2348,26.96448335,20,12002.44691
"66","aka","Akan",6.5,-1.25,"Niger-Congo","Africa","GHA",9,21.4,3016,1841,1187,41.03454338,166,4950.86547
"73","ald","Alladian",5.166666667,-4.333333333,"Niger-Congo","Africa","CIV",2,14.4,2799,3008,1348,32.70754717,72,4962.883138
"74","ale","Aleut",54,-166,"Eskimo-Aleut","North America","USA",0,20.7,3682,2373,715,33.89972254,63,17761.63708
"82","alh","Alawa",-15.16666667,134.25,"Mangarrayi-Maran","Australia","AUS",0,21.2,3276,1546,534,16.23875662,54,11312.62727
"84","aly","Alyawarra",-22.5,135,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,32,10837.59385
"87","amc","Amahuaca",-10.5,-72.5,"Panoan","South America","BRA",0,34.3,3263,312,1761,59.04878358,67,9445.600291
"90","amh","Amharic",10,38,"Afro-Asiatic","Africa","ETH",0,26.7,2131,5017,848,12.499,96,5305.676012
"92","amr","Amarakaeri",-12.5,-70.5,"Harakmbet","South America","PER",0,34.6,2700,3027,1738,57.79140625,33,9141.188842
"96","amo","Amo",10.33333333,8.666666667,"Niger-Congo","Africa","NGA",0,22.2,2700,3741,1150,7.678118515,35,5029.791126
"97","aer","Arrernte (Mparntwe)",-24,136,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,30,10802.38193
"99","ary","Arabic (Moroccan)",34,-6,"Afro-Asiatic","Africa","MAR",0,32.7,3403,4313,346,12.61931436,78,7973.412917
"102","ame","Amuesha",-10.5,-75.41666667,"Arawakan","South America","PER",0,34.6,2700,3027,1738,57.79140625,88,9710.657701
"104","amu","Amuzgo",16.83333333,-98,"Oto-Manguean","North America","MEX",0,40.7,3072,4891,758,33.97206718,37,13458.92611
"105","aro","Araona",-12.33333333,-67.75,"Tacanan","South America","BOL",0,23.3,2256,3245,1146,50.55294009,23,8900.619161
"106","anc","Angas",9.5,9.5,"Afro-Asiatic","Africa","NGA",6,22.2,2700,3741,1150,7.678118515,123,4921.343044
"110","aty","Anejom",-20.2,169.8,"Austronesian","Papunesia","VUT",0,40.6,2836,NA,NA,36.09515997,26,13280.38418
"115","cko","Anufo",10.08333333,0.25,"Niger-Congo","Africa","GHA",4,21.4,3016,1841,1187,41.03454338,102,5258.381683
"117","anu","Anywa",8,33.5,"Eastern Sudanic","Africa","ETH",4,26.7,2131,5017,848,12.499,47,4927.094185
"118","njo","Ao",26.58333333,94.66666667,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,52,10478.17659
"121","apm","Apache (Chiricahua)",33.25,-108,"Na-Dene","North America","USA",4,20.7,3682,2373,715,33.89972254,51,15115.23272
"123","apn","Apinayé",-5.5,-48,"Macro-Ge","South America","BRA",0,34.3,3263,312,1761,59.04878358,113,7500.008038
"124","apj","Apache (Jicarilla)",36.58333333,-104,"Na-Dene","North America","USA",3,20.7,3682,2373,715,33.89972254,56,14862.62028
"125","apq","A-Pucikwar",12.16666667,92.83333333,"Great Andamanese","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,59,9369.919991
"126","apy","Apalaí",0,-54,"Cariban","South America","BRA",0,34.3,3263,312,1761,59.04878358,24,8396.624708
"127","apt","Apatani",27.5,93.75,"Sino-Tibetan","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,37,10465.22791
"128","apu","Apurinã",-9,-67,"Arawakan","South America","BRA",0,34.3,3263,312,1761,59.04878358,74,9033.74264
"130","arw","Arawak",5.5,-55.16666667,"Arawakan","South America","SUR",0,25.4,2753,1644,2331,98.28205128,21,8858.315514
"131","arl","Arabela",-2,-75.16666667,"Zaparoan","South America","PER",0,34.6,2700,3027,1738,57.79140625,47,10217.56012
"132","aqc","Archi",42,46.83333333,"Nakh-Daghestanian","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,91,8928.934679
"133","jbj","Arandai",-2.083333333,133,"Marind","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,18,12117.41944
"140","hye","Armenian (Eastern)",40,45,"Indo-European","Eurasia","ARM",0,25.7,2928,2999,562,11.66139796,73,8664.078967
"145","aer","Arrernte",-24,134,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,30,10650.61621
"148","hye","Armenian (Western)",38.5,43.5,"Indo-European","Eurasia","TUR",0,26.4,3706,535,593,15.22159999,73,8461.214296
"150","hye","Armenian (Iranian)",32.66666667,51.66666667,"Indo-European","Eurasia","IRN",0,24,3094,6071,228,6.564490778,73,8182.352021
"153","tml","Asmat",-5.5,138.5,"Trans-New Guinea","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,36,12360.59561
"155","asm","Assamese",26,93,"Indo-European","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,37,10305.93252
"157","asu","Asuriní",-3.5,-49.5,"Tupian","South America","BRA",0,34.3,3263,312,1761,59.04878358,16,7763.505672
"165","kuz","Atacameño",-23,-69,"Kunza","South America","ARG",0,35.2,3229,2605,591,9.906858285,33,8384.540509
"173","ava","Avar",42.5,46.5,"Nakh-Daghestanian","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,49,8969.0233
"174","avi","Avikam",5.166666667,-5.5,"Niger-Congo","Africa","CIV",3,14.4,2799,3008,1348,32.70754717,34,5023.086128
"176","avn","Avatime",6.833333333,0.416666667,"Niger-Congo","Africa","GHA",4,21.4,3016,1841,1187,41.03454338,50,4914.520917
"178","awa","Awadhi",27.5,81.5,"Indo-European","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,45,9528.657938
"179","are","Arrernte (Western)",-24,132.5,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,29,10535.35181
"182","awn","Awngi",10.83333333,36.66666667,"Afro-Asiatic","Africa","ETH",7,26.7,2131,5017,848,12.499,113,5339.143433
"183","kwi","Awa Pit",1.5,-78.25,"Barbacoan","South America","COL",0,40.7,2804,4103,3240,52.72802163,47,10719.61583
"187","any","Anyi",7,-3.5,"Niger-Congo","Africa","CIV",14,14.4,2799,3008,1348,32.70754717,115,5104.642701
"190","ayo","Ayoreo",-20.25,-59.25,"Zamucoan","South America","PRY",0,23.3,2589,3232,1130,38.56783287,30,7668.097274
"192","azb","Azerbaijani",40.5,48.5,"Altaic","Eurasia","IRN",0,24,3094,6071,228,6.564490778,34,8834.2975
"193","azb","Azari (Iranian)",37.5,47,"Altaic","Eurasia","IRN",0,24,3094,6071,228,6.564490778,34,8476.924122
"195","bav","Babungo",6.116666667,10.41666667,"Niger-Congo","Africa","CMR",9,16.7,2671,4092,1604,39.80453132,82,4532.95788
"197","bde","Bade",12.83333333,10.5,"Afro-Asiatic","Africa","NGA",4,22.2,2700,3741,1150,7.678118515,46,5268.198632
"198","bae","Baré",1,-67,"Arawakan","South America","BRA",0,34.3,3263,312,1761,59.04878358,23,9650.731231
"199","bfd","Bafut",6.25,9.916666667,"Niger-Congo","Africa","CMR",10,16.7,2671,4092,1604,39.80453132,49,4557.611078
"200","bmi","Bagirmi",11.66666667,16,"Central Sudanic","Africa","TCD",3,12.8,2110,3845,322,3.871505718,48,5077.667413
"201","bca","Bai",26,100,"Sino-Tibetan","Eurasia","CHN",0,25.7,3108,7829,645,22.18966958,29,10876.28103
"202","bdl","Bajau (Sama)",-4.333333333,123,"Austronesian","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,32,11073.88874
"203","bkc","Baka (in Cameroon)",2.583333333,13.58333333,"Niger-Congo","Africa","CMR",9,16.7,2671,4092,1604,39.80453132,73,4092.410626
"204","ban","Balinese",-8.333333333,115.25,"Austronesian","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,24,10117.07874
"206","bcw","Bana",10.41666667,13.58333333,"Afro-Asiatic","Africa","CMR",4,16.7,2671,4092,1604,39.80453132,44,4958.630818
"208","brg","Baure",-13.08333333,-64.16666667,"Arawakan","South America","BOL",0,23.3,2256,3245,1146,50.55294009,18,8527.942597
"210","bas","Basaá",3.916666667,10.5,"Niger-Congo","Africa","CMR",5,16.7,2671,4092,1604,39.80453132,41,4290.594265
"214","bbo","Bobo Madaré (Northern)",12.41666667,-4.333333333,"Mande","Africa","BFA",5,17.9,2720,2333,748,19.55409357,110,5689.530866
"217","gup","Bininj Gun-Wok",-12.5,133.75,"Gunwinyguan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,24,11461.81932
"218","bdy","Bandjalang (Casino)",-28.91666667,153,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,16,11554.62983
"220","blc","Bella Coola",52.5,-126.6666667,"Salishan","North America","CAN",0,23.9,3494,1528,537,38.16667052,31,16571.35834
"222","bfq","Badaga",11.66666667,76.75,"Dravidian","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,38,7976.231358
"225","buu","Budu",2,28,"Niger-Congo","Africa","COD",3,18.8,NA,516,1543,67.3024415,43,4119.822379
"229","dbj","Begak-Ida'an",5.25,118.8333333,"Austronesian","Papunesia","MYS",0,30.3,2916,4741,2875,67.55440572,23,11296.29593
"232","bem","Bemba",-10,28.25,"Niger-Congo","Africa","COD",0,18.8,NA,516,1543,67.3024415,25,2843.719655
"233","ben","Bengali",24,90,"Indo-European","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,144,9930.595098
"235","wti","Berta",10.33333333,34.66666667,"Berta","Africa","ETH",0,26.7,2131,5017,848,12.499,29,5213.70702
"236","bev","Bété",6.25,-6.25,"Niger-Congo","Africa","CIV",0,14.4,2799,3008,1348,32.70754717,37,5168.572769
"239","ksf","Bafia",5,11.16666667,"Niger-Congo","Africa","CMR",9,16.7,2671,4092,1604,39.80453132,99,4396.387966
"247","fuu","Bagiro",4.333333333,20.58333333,"Central Sudanic","Africa","COD",0,18.8,NA,516,1543,67.3024415,41,4261.542804
"248","bsp","Baga Sitemu",10.5,-14.5,"Niger-Congo","Africa","GIN",0,15.9,2566,319,1651,25.89939769,26,6043.01038
"251","bhb","Bhili",22,73,"Indo-European","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,62,8486.713936
"254","unr","Bhumij",21.33333333,86.5,"Austro-Asiatic","Eurasia","IND",0,29.2,2459,4324,1083,23.77311911,167,9464.820287
"255","bip","Bira",1,28.75,"Niger-Congo","Africa","COD",5,18.8,NA,516,1543,67.3024415,33,4031.893169
"259","bhw","Biak",-1,136,"Austronesian","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,43,12455.78423
